net,pin_count,inst_count,hpwl_um,x_span_um,y_span_um,is_power,net_class,criticality,guide_layer,priority_score,recommendation,instances,roles
0,15,12,293.6962,68.021,225.67519999999996,True,power,power,"255,11",15293.6962,Use wide metal and short/body-tap-friendly route; keep rail resistance low.,"X1,X2,X3,X4,X5,X6,X7,XQ0,Xb,Xc,Xe,Xf","B,C,S"
vdd,14,7,112.25600000000001,102.88480000000001,9.371200000000002,True,power,power,"255,12",14112.256,Use wide metal and short/body-tap-friendly route; keep rail resistance low.,"X10,X11,X12,X8,X9,Xa,Xd","B,S"
net2,9,8,183.62599999999998,102.89800000000002,80.72799999999995,False,bias_or_feedback_sensitive,high,"255,15",11083.626,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails. Large estimated HPWL: place related devices closer or route with shielding/upper metal.","X10,X11,X12,X3,X8,X9,Xa,Xd","D,G"
net03,4,4,379.64059999999995,100.69020000000002,278.95039999999995,False,bias_or_feedback_sensitive,high,"255,19",5829.6406,"Gate net: avoid unnecessary length; consider shielding if high impedance. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails. Large estimated HPWL: place related devices closer or route with shielding/upper metal.","X2,X3,X9,XQ0","D,E,G"
netd,4,3,66.4992,17.413200000000003,49.086,False,bias_or_feedback_sensitive,high,"255,14",5716.4992,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","Xd,Xe,Xf","D,G"
neta,4,3,66.38919999999999,17.303199999999997,49.086,False,bias_or_feedback_sensitive,high,"255,21",5716.3892,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","Xa,Xb,Xc","D,G"
net13,4,3,50.169,1.0829999999999984,49.086,False,bias_or_feedback_sensitive,high,"255,18",5700.169,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","X11,X6,X7","D,G"
net19,4,3,50.169,1.083000000000002,49.086,False,bias_or_feedback_sensitive,high,"255,16",5700.169,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","X10,X4,X5","D,G"
net16,3,2,74.156,2.166,71.99000000000001,False,bias_or_feedback_sensitive,high,"255,17",4724.156,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","X1,X2","D,G,S"
net3,3,3,106.73599999999998,19.016000000000002,87.71999999999997,False,local_signal,normal,"255,13",3606.736,Large estimated HPWL: place related devices closer or route with shielding/upper metal.,"X2,X3,X4","D,S"
net9,3,3,68.9548,18.672799999999995,50.282000000000004,False,local_signal,normal,"255,23",3318.9548,Normal local interconnect; route after priority/sensitive nets.,"X12,Xe,Xf","D,S"
net7,3,3,29.686000000000007,19.016000000000005,10.670000000000002,False,local_signal,normal,"255,20",3279.686,Normal local interconnect; route after priority/sensitive nets.,"X4,X5,X6","D,S"
netbc,3,3,29.686000000000007,19.016000000000005,10.670000000000002,False,local_signal,normal,"255,21",3279.686,Normal local interconnect; route after priority/sensitive nets.,"X6,X7,Xc","D,S"
netef,3,3,29.686,19.016,10.670000000000002,False,local_signal,normal,"255,13",3279.686,Normal local interconnect; route after priority/sensitive nets.,"Xb,Xc,Xf","D,S"
