net,pin_count,inst_count,hpwl_um,x_span_um,y_span_um,is_power,net_class,criticality,guide_layer,priority_score,recommendation,instances,roles
0,15,12,293.15340000000003,65.981,227.17240000000007,True,power,power,"255,11",15293.1534,Use wide metal and short/body-tap-friendly route; keep rail resistance low.,"X1,X2,X3,X4,X5,X6,X7,XQ0,Xb,Xc,Xe,Xf","B,C,S"
vdd,14,7,107.11100000000002,98.09980000000002,9.011200000000002,True,power,power,"255,12",14107.111,Use wide metal and short/body-tap-friendly route; keep rail resistance low.,"X10,X11,X12,X8,X9,Xa,Xd","B,S"
net2,9,8,177.45460000000003,98.09980000000003,79.3548,False,bias_or_feedback_sensitive,high,"255,15",11077.454600000001,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails. Large estimated HPWL: place related devices closer or route with shielding/upper metal.","X10,X11,X12,X3,X8,X9,Xa,Xd","D,G"
net03,4,4,374.4256000000001,95.9852,278.44040000000007,False,bias_or_feedback_sensitive,high,"255,19",5824.4256000000005,"Gate net: avoid unnecessary length; consider shielding if high impedance. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails. Large estimated HPWL: place related devices closer or route with shielding/upper metal.","X2,X3,X9,XQ0","D,E,G"
netd,4,3,62.2028,15.23320000000001,46.96959999999999,False,bias_or_feedback_sensitive,high,"255,14",5712.2028,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","Xd,Xe,Xf","D,G"
neta,4,3,61.84279999999999,14.873199999999997,46.96959999999999,False,bias_or_feedback_sensitive,high,"255,21",5711.8428,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","Xa,Xb,Xc","D,G"
net19,4,3,50.28959999999999,2.1447999999999965,48.1448,False,bias_or_feedback_sensitive,high,"255,16",5700.2896,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","X10,X4,X5","D,G"
net13,4,3,49.369399999999985,2.399799999999992,46.96959999999999,False,bias_or_feedback_sensitive,high,"255,18",5699.3694,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","X11,X6,X7","D,G"
net16,3,2,74.55080000000001,2.3407999999999998,72.21000000000001,False,bias_or_feedback_sensitive,high,"255,17",4724.5508,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","X1,X2","D,G,S"
net3,3,3,107.1408,19.4208,87.72,False,local_signal,normal,"255,13",3607.1408,Large estimated HPWL: place related devices closer or route with shielding/upper metal.,"X2,X3,X4","D,S"
net9,3,3,66.39439999999999,18.592799999999997,47.80159999999999,False,local_signal,normal,"255,23",3316.3944,Normal local interconnect; route after priority/sensitive nets.,"X12,Xe,Xf","D,S"
net7,3,3,29.2284,18.3384,10.89,False,local_signal,normal,"255,20",3279.2284,Normal local interconnect; route after priority/sensitive nets.,"X4,X5,X6","D,S"
netbc,3,3,27.016,17.256,9.759999999999998,False,local_signal,normal,"255,21",3277.016,Normal local interconnect; route after priority/sensitive nets.,"X6,X7,Xc","D,S"
netef,3,3,27.016,17.256,9.759999999999998,False,local_signal,normal,"255,13",3277.016,Normal local interconnect; route after priority/sensitive nets.,"Xb,Xc,Xf","D,S"
