net,pin_count,inst_count,hpwl_um,x_span_um,y_span_um,is_power,net_class,criticality,guide_layer,priority_score,recommendation,instances,roles
0,15,12,341.02819999999997,253.075,87.95320000000001,True,power,power,"255,11",15341.0282,Use wide metal and short/body-tap-friendly route; keep rail resistance low.,"X1,X2,X3,X4,X5,X6,X7,XQ0,Xb,Xc,Xe,Xf","B,C,S"
vdd,14,7,409.86100000000005,346.58140000000003,63.2796,True,power,power,"255,12",14409.861,Use wide metal and short/body-tap-friendly route; keep rail resistance low.,"X10,X11,X12,X8,X9,Xa,Xd","B,S"
net2,9,8,400.8322,330.135,70.69720000000001,False,bias_or_feedback_sensitive,high,"255,15",11300.8322,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails. Large estimated HPWL: place related devices closer or route with shielding/upper metal.","X10,X11,X12,X3,X8,X9,Xa,Xd","D,G"
net03,4,4,391.3912,291.7436,99.6476,False,bias_or_feedback_sensitive,high,"255,19",5841.3912,"Gate net: avoid unnecessary length; consider shielding if high impedance. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails. Large estimated HPWL: place related devices closer or route with shielding/upper metal.","X2,X3,X9,XQ0","D,E,G"
netd,4,3,64.82280000000002,50.373200000000004,14.44960000000001,False,bias_or_feedback_sensitive,high,"255,14",5714.8228,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","Xd,Xe,Xf","D,G"
net19,4,3,56.8342,52.4502,4.384,False,bias_or_feedback_sensitive,high,"255,16",5706.834199999999,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","X10,X4,X5","D,G"
net13,4,3,54.0838,33.709799999999994,20.374000000000002,False,bias_or_feedback_sensitive,high,"255,18",5704.0838,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","X11,X6,X7","D,G"
neta,4,3,24.230200000000004,20.7198,3.510400000000004,False,bias_or_feedback_sensitive,high,"255,21",5674.2302,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","Xa,Xb,Xc","D,G"
net16,3,2,187.61599999999999,175.552,12.063999999999997,False,bias_or_feedback_sensitive,high,"255,17",5087.616,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails. Large estimated HPWL: place related devices closer or route with shielding/upper metal.","X1,X2","D,G,S"
net3,3,3,343.0432,287.668,55.3752,False,local_signal,normal,"255,13",3843.0432,Large estimated HPWL: place related devices closer or route with shielding/upper metal.,"X2,X3,X4","D,S"
netef,3,3,45.98400000000001,29.224000000000004,16.760000000000005,False,local_signal,normal,"255,13",3295.984,Normal local interconnect; route after priority/sensitive nets.,"Xb,Xc,Xf","D,S"
netbc,3,3,38.24560000000001,20.066000000000006,18.1796,False,local_signal,normal,"255,21",3288.2456,Normal local interconnect; route after priority/sensitive nets.,"X6,X7,Xc","D,S"
net7,3,3,25.546,23.866,1.6799999999999997,False,local_signal,normal,"255,20",3275.546,Normal local interconnect; route after priority/sensitive nets.,"X4,X5,X6","D,S"
net9,3,3,24.128800000000005,8.8472,15.281600000000005,False,local_signal,normal,"255,23",3274.1288,Normal local interconnect; route after priority/sensitive nets.,"X12,Xe,Xf","D,S"
