net,pin_count,inst_count,hpwl_um,x_span_um,y_span_um,is_power,net_class,criticality,guide_layer,priority_score,recommendation,instances,roles
0,15,12,232.64339999999999,113.62100000000001,119.02239999999998,True,power,power,"255,11",15232.6434,Use wide metal and short/body-tap-friendly route; keep rail resistance low.,"X1,X2,X3,X4,X5,X6,X7,XQ0,Xb,Xc,Xe,Xf","B,C,S"
vdd,14,7,141.37100000000004,134.24140000000003,7.129600000000001,True,power,power,"255,12",14141.371,Use wide metal and short/body-tap-friendly route; keep rail resistance low.,"X10,X11,X12,X8,X9,Xa,Xd","B,S"
net2,9,8,175.54200000000003,118.63480000000003,56.9072,False,bias_or_feedback_sensitive,high,"255,15",11075.542,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails. Large estimated HPWL: place related devices closer or route with shielding/upper metal.","X10,X11,X12,X3,X8,X9,Xa,Xd","D,G"
net13,4,3,137.8994,94.28980000000001,43.60959999999999,False,bias_or_feedback_sensitive,high,"255,18",6037.8994,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails. Large estimated HPWL: place related devices closer or route with shielding/upper metal.","X11,X6,X7","D,G"
net19,4,3,137.79579999999999,94.1498,43.646,False,bias_or_feedback_sensitive,high,"255,16",6037.7958,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails. Large estimated HPWL: place related devices closer or route with shielding/upper metal.","X10,X4,X5","D,G"
neta,4,3,121.32940000000002,77.71980000000002,43.60959999999999,False,bias_or_feedback_sensitive,high,"255,21",6021.3294,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails. Large estimated HPWL: place related devices closer or route with shielding/upper metal.","Xa,Xb,Xc","D,G"
netd,4,3,120.96940000000001,77.3598,43.60959999999999,False,bias_or_feedback_sensitive,high,"255,14",6020.9694,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails. Large estimated HPWL: place related devices closer or route with shielding/upper metal.","Xd,Xe,Xf","D,G"
net03,4,4,219.90240000000003,54.85360000000002,165.0488,False,bias_or_feedback_sensitive,high,"255,19",5669.9024,"Gate net: avoid unnecessary length; consider shielding if high impedance. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails. Large estimated HPWL: place related devices closer or route with shielding/upper metal.","X2,X3,X9,XQ0","D,E,G"
net16,3,2,108.512,72.352,36.16,False,bias_or_feedback_sensitive,high,"255,17",5008.512000000001,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails. Large estimated HPWL: place related devices closer or route with shielding/upper metal.","X1,X2","D,G,S"
net9,3,3,154.9244,110.48279999999998,44.441599999999994,False,local_signal,normal,"255,23",3654.9244,Large estimated HPWL: place related devices closer or route with shielding/upper metal.,"X12,Xe,Xf","D,S"
net3,3,3,137.3188,100.28399999999999,37.034800000000004,False,local_signal,normal,"255,13",3637.3188,Large estimated HPWL: place related devices closer or route with shielding/upper metal.,"X2,X3,X4","D,S"
net7,3,3,28.296400000000013,18.13600000000001,10.160400000000003,False,local_signal,normal,"255,20",3278.2964,Normal local interconnect; route after priority/sensitive nets.,"X4,X5,X6","D,S"
netbc,3,3,27.016000000000012,17.256000000000014,9.759999999999998,False,local_signal,normal,"255,21",3277.016,Normal local interconnect; route after priority/sensitive nets.,"X6,X7,Xc","D,S"
netef,3,3,27.01599999999997,17.255999999999972,9.759999999999998,False,local_signal,normal,"255,13",3277.016,Normal local interconnect; route after priority/sensitive nets.,"Xb,Xc,Xf","D,S"
