net,priority_order,criticality,net_class,pin_count,hpwl_um,recommended_layer,recommended_width,shielding,instances,roles
net2,1,high,bias_or_feedback_sensitive,9,183.626,"M2 horizontal / M3 vertical preferred, avoid diffusion/poly jogs","minimum ok for bias, but keep short; use shielding if long",shield with quiet 0/VSS or VDD if crossing noisy regions,"X10,X11,X12,X3,X8,X9,Xa,Xd","D,G"
net03,1,high,bias_or_feedback_sensitive,4,379.641,"M2 horizontal / M3 vertical preferred, avoid diffusion/poly jogs","minimum ok for bias, but keep short; use shielding if long",shield with quiet 0/VSS or VDD if crossing noisy regions,"X2,X3,X9,XQ0","D,E,G"
net13,1,high,bias_or_feedback_sensitive,4,50.169,"M2 horizontal / M3 vertical preferred, avoid diffusion/poly jogs","minimum ok for bias, but keep short; use shielding if long",shield with quiet 0/VSS or VDD if crossing noisy regions,"X11,X6,X7","D,G"
net19,1,high,bias_or_feedback_sensitive,4,50.169,"M2 horizontal / M3 vertical preferred, avoid diffusion/poly jogs","minimum ok for bias, but keep short; use shielding if long",shield with quiet 0/VSS or VDD if crossing noisy regions,"X10,X4,X5","D,G"
neta,1,high,bias_or_feedback_sensitive,4,66.389,"M2 horizontal / M3 vertical preferred, avoid diffusion/poly jogs","minimum ok for bias, but keep short; use shielding if long",shield with quiet 0/VSS or VDD if crossing noisy regions,"Xa,Xb,Xc","D,G"
netd,1,high,bias_or_feedback_sensitive,4,66.499,"M2 horizontal / M3 vertical preferred, avoid diffusion/poly jogs","minimum ok for bias, but keep short; use shielding if long",shield with quiet 0/VSS or VDD if crossing noisy regions,"Xd,Xe,Xf","D,G"
net16,1,high,bias_or_feedback_sensitive,3,74.156,"M2 horizontal / M3 vertical preferred, avoid diffusion/poly jogs","minimum ok for bias, but keep short; use shielding if long",shield with quiet 0/VSS or VDD if crossing noisy regions,"X1,X2","D,G,S"
net3,4,normal,local_signal,3,106.736,"M1 local, M2 for longer branch routes",normal; increase for current-carrying branches,avoid coupling into bias/reference nodes,"X2,X3,X4","D,S"
net7,4,normal,local_signal,3,29.686,"M1 local, M2 for longer branch routes",normal; increase for current-carrying branches,avoid coupling into bias/reference nodes,"X4,X5,X6","D,S"
net9,4,normal,local_signal,3,68.955,"M1 local, M2 for longer branch routes",normal; increase for current-carrying branches,avoid coupling into bias/reference nodes,"X12,Xe,Xf","D,S"
netbc,4,normal,local_signal,3,29.686,"M1 local, M2 for longer branch routes",normal; increase for current-carrying branches,avoid coupling into bias/reference nodes,"X6,X7,Xc","D,S"
netef,4,normal,local_signal,3,29.686,"M1 local, M2 for longer branch routes",normal; increase for current-carrying branches,avoid coupling into bias/reference nodes,"Xb,Xc,Xf","D,S"
0,10,power,power,15,293.696,M1/M2 wide rail or strap,"wide, EM-aware",not needed; this is the shield/return reference,"X1,X2,X3,X4,X5,X6,X7,XQ0,Xb,Xc,Xe,Xf","B,C,S"
vdd,10,power,power,14,112.256,M1/M2 wide rail or strap,"wide, EM-aware",not needed; this is the shield/return reference,"X10,X11,X12,X8,X9,Xa,Xd","B,S"
